States,Year,CAUSE,Male,Female,Total,Lat,Long
BIHAR,2012,Car (Private),223,62,285,25.78541445,87.4799727
BIHAR,2012,Three Wheeler,179,31,210,25.78541445,87.4799727
BIHAR,2012,Two Wheeler,549,89,638,25.78541445,87.4799727
BIHAR,2012,Bicycle,88,7,95,25.78541445,87.4799727
BIHAR,2012,Pedestrian,145,49,194,25.78541445,87.4799727
BIHAR,2012,Others (Please Specify),693,144,837,25.78541445,87.4799727
CHHATTISGARH,2001,Truck/Lorry (Government),38,17,55,22.09042035,82.15998734
CHHATTISGARH,2001,Truck/Lorry (Private),372,64,436,22.09042035,82.15998734
CHHATTISGARH,2001,Bus (Government),53,10,63,22.09042035,82.15998734
CHHATTISGARH,2001,Bus (Private),16,4,20,22.09042035,82.15998734
CHHATTISGARH,2001,Tempo/Vans (Government),14,4,18,22.09042035,82.15998734
CHHATTISGARH,2001,Tempo/Vans (Private),52,13,65,22.09042035,82.15998734
CHHATTISGARH,2001,Jeep (Government),9,3,12,22.09042035,82.15998734
CHHATTISGARH,2001,Jeep (Private),133,22,155,22.09042035,82.15998734
CHHATTISGARH,2001,Car (Government),1,0,1,22.09042035,82.15998734
CHHATTISGARH,2001,Car (Private),30,5,35,22.09042035,82.15998734
CHHATTISGARH,2001,Three Wheeler,10,1,11,22.09042035,82.15998734
CHHATTISGARH,2001,Two Wheeler,202,21,223,22.09042035,82.15998734
CHHATTISGARH,2001,Bicycle,36,5,41,22.09042035,82.15998734
CHHATTISGARH,2001,Pedestrian,48,17,65,22.09042035,82.15998734
CHHATTISGARH,2001,Others (Please Specify),129,11,140,22.09042035,82.15998734
CHHATTISGARH,2002,Truck/Lorry (Government),5,0,5,22.09042035,82.15998734
CHHATTISGARH,2002,Truck/Lorry (Private),356,63,419,22.09042035,82.15998734
CHHATTISGARH,2002,Bus (Government),5,0,5,22.09042035,82.15998734
CHHATTISGARH,2002,Bus (Private),86,23,109,22.09042035,82.15998734
CHHATTISGARH,2002,Tempo/Vans (Government),0,0,0,22.09042035,82.15998734
CHHATTISGARH,2002,Tempo/Vans (Private),50,17,67,22.09042035,82.15998734
CHHATTISGARH,2002,Jeep (Government),2,0,2,22.09042035,82.15998734
CHHATTISGARH,2002,Jeep (Private),164,33,197,22.09042035,82.15998734
CHHATTISGARH,2002,Car (Government),0,0,0,22.09042035,82.15998734
CHHATTISGARH,2002,Car (Private),37,4,41,22.09042035,82.15998734
CHHATTISGARH,2002,Three Wheeler,14,1,15,22.09042035,82.15998734
CHHATTISGARH,2002,Two Wheeler,316,28,344,22.09042035,82.15998734
CHHATTISGARH,2002,Bicycle,123,15,138,22.09042035,82.15998734
CHHATTISGARH,2002,Pedestrian,115,40,155,22.09042035,82.15998734
CHHATTISGARH,2002,Others (Please Specify),283,44,327,22.09042035,82.15998734
CHHATTISGARH,2003,Truck/Lorry (Government),22,3,25,22.09042035,82.15998734
CHHATTISGARH,2003,Truck/Lorry (Private),503,89,592,22.09042035,82.15998734
CHHATTISGARH,2003,Bus (Government),0,0,0,22.09042035,82.15998734
CHHATTISGARH,2003,Bus (Private),132,22,154,22.09042035,82.15998734
CHHATTISGARH,2003,Tempo/Vans (Government),0,0,0,22.09042035,82.15998734
CHHATTISGARH,2003,Tempo/Vans (Private),59,11,70,22.09042035,82.15998734
CHHATTISGARH,2003,Jeep (Government),6,3,9,22.09042035,82.15998734
CHHATTISGARH,2003,Jeep (Private),192,30,222,22.09042035,82.15998734
CHHATTISGARH,2003,Car (Government),1,0,1,22.09042035,82.15998734
CHHATTISGARH,2003,Car (Private),57,3,60,22.09042035,82.15998734
CHHATTISGARH,2003,Three Wheeler,13,0,13,22.09042035,82.15998734
CHHATTISGARH,2003,Two Wheeler,296,37,333,22.09042035,82.15998734
CHHATTISGARH,2003,Bicycle,69,4,73,22.09042035,82.15998734
CHHATTISGARH,2003,Pedestrian,125,17,142,22.09042035,82.15998734
CHHATTISGARH,2003,Others (Please Specify),279,62,341,22.09042035,82.15998734
CHHATTISGARH,2004,Truck/Lorry (Government),15,3,18,22.09042035,82.15998734
CHHATTISGARH,2004,Truck/Lorry (Private),459,69,528,22.09042035,82.15998734
CHHATTISGARH,2004,Bus (Government),29,6,35,22.09042035,82.15998734
CHHATTISGARH,2004,Bus (Private),58,16,74,22.09042035,82.15998734
CHHATTISGARH,2004,Tempo/Vans (Government),1,0,1,22.09042035,82.15998734
CHHATTISGARH,2004,Tempo/Vans (Private),58,20,78,22.09042035,82.15998734
CHHATTISGARH,2004,Jeep (Government),9,2,11,22.09042035,82.15998734
CHHATTISGARH,2004,Jeep (Private),180,31,211,22.09042035,82.15998734
CHHATTISGARH,2004,Car (Government),0,0,0,22.09042035,82.15998734
CHHATTISGARH,2004,Car (Private),41,6,47,22.09042035,82.15998734
CHHATTISGARH,2004,Three Wheeler,27,2,29,22.09042035,82.15998734
CHHATTISGARH,2004,Two Wheeler,405,40,445,22.09042035,82.15998734
CHHATTISGARH,2004,Bicycle,68,10,78,22.09042035,82.15998734
CHHATTISGARH,2004,Pedestrian,153,48,201,22.09042035,82.15998734
CHHATTISGARH,2004,Others (Please Specify),417,77,494,22.09042035,82.15998734
CHHATTISGARH,2005,Truck/Lorry (Government),0,0,0,22.09042035,82.15998734
CHHATTISGARH,2005,Truck/Lorry (Private),454,80,534,22.09042035,82.15998734
CHHATTISGARH,2005,Bus (Government),0,0,0,22.09042035,82.15998734
CHHATTISGARH,2005,Bus (Private),167,37,204,22.09042035,82.15998734
CHHATTISGARH,2005,Tempo/Vans (Government),1,0,1,22.09042035,82.15998734
CHHATTISGARH,2005,Tempo/Vans (Private),82,13,95,22.09042035,82.15998734
CHHATTISGARH,2005,Jeep (Government),1,0,1,22.09042035,82.15998734
CHHATTISGARH,2005,Jeep (Private),204,35,239,22.09042035,82.15998734
CHHATTISGARH,2005,Car (Government),3,0,3,22.09042035,82.15998734
CHHATTISGARH,2005,Car (Private),75,7,82,22.09042035,82.15998734
CHHATTISGARH,2005,Three Wheeler,12,3,15,22.09042035,82.15998734
CHHATTISGARH,2005,Two Wheeler,397,60,457,22.09042035,82.15998734
CHHATTISGARH,2005,Bicycle,152,4,156,22.09042035,82.15998734
CHHATTISGARH,2005,Pedestrian,179,27,206,22.09042035,82.15998734
CHHATTISGARH,2005,Others (Please Specify),302,30,332,22.09042035,82.15998734
CHHATTISGARH,2006,Truck/Lorry (Government),2,0,2,22.09042035,82.15998734
CHHATTISGARH,2006,Truck/Lorry (Private),652,112,764,22.09042035,82.15998734
CHHATTISGARH,2006,Bus (Government),0,0,0,22.09042035,82.15998734
CHHATTISGARH,2006,Bus (Private),140,30,170,22.09042035,82.15998734
CHHATTISGARH,2006,Tempo/Vans (Government),3,0,3,22.09042035,82.15998734
CHHATTISGARH,2006,Tempo/Vans (Private),71,6,77,22.09042035,82.15998734
CHHATTISGARH,2006,Jeep (Government),0,1,1,22.09042035,82.15998734
CHHATTISGARH,2006,Jeep (Private),164,32,196,22.09042035,82.15998734
CHHATTISGARH,2006,Car (Government),2,0,2,22.09042035,82.15998734
CHHATTISGARH,2006,Car (Private),82,27,109,22.09042035,82.15998734
CHHATTISGARH,2006,Three Wheeler,29,2,31,22.09042035,82.15998734
CHHATTISGARH,2006,Two Wheeler,377,64,441,22.09042035,82.15998734
CHHATTISGARH,2006,Bicycle,148,11,159,22.09042035,82.15998734
CHHATTISGARH,2006,Pedestrian,114,22,136,22.09042035,82.15998734
CHHATTISGARH,2006,Others (Please Specify),424,59,483,22.09042035,82.15998734
CHHATTISGARH,2007,Truck/Lorry (Government),0,0,0,22.09042035,82.15998734
CHHATTISGARH,2007,Truck/Lorry (Private),649,70,719,22.09042035,82.15998734
CHHATTISGARH,2007,Bus (Government),0,0,0,22.09042035,82.15998734
CHHATTISGARH,2007,Bus (Private),161,27,188,22.09042035,82.15998734
CHHATTISGARH,2007,Tempo/Vans (Government),0,0,0,22.09042035,82.15998734
CHHATTISGARH,2007,Tempo/Vans (Private),81,9,90,22.09042035,82.15998734
CHHATTISGARH,2007,Jeep (Government),4,1,5,22.09042035,82.15998734
CHHATTISGARH,2007,Jeep (Private),151,44,195,22.09042035,82.15998734
CHHATTISGARH,2007,Car (Government),9,0,9,22.09042035,82.15998734
CHHATTISGARH,2007,Car (Private),110,17,127,22.09042035,82.15998734
CHHATTISGARH,2007,Three Wheeler,27,1,28,22.09042035,82.15998734
CHHATTISGARH,2007,Two Wheeler,494,66,560,22.09042035,82.15998734
CHHATTISGARH,2007,Bicycle,70,9,79,22.09042035,82.15998734
CHHATTISGARH,2007,Pedestrian,137,29,166,22.09042035,82.15998734
CHHATTISGARH,2007,Others (Please Specify),636,130,766,22.09042035,82.15998734
CHHATTISGARH,2008,Truck/Lorry (Government),0,0,0,22.09042035,82.15998734
CHHATTISGARH,2008,Truck/Lorry (Private),698,92,790,22.09042035,82.15998734
CHHATTISGARH,2008,Bus (Government),92,14,106,22.09042035,82.15998734
CHHATTISGARH,2008,Bus (Private),49,14,63,22.09042035,82.15998734
CHHATTISGARH,2008,Tempo/Vans (Government),0,0,0,22.09042035,82.15998734
CHHATTISGARH,2008,Tempo/Vans (Private),83,20,103,22.09042035,82.15998734
CHHATTISGARH,2008,Jeep (Government),0,1,1,22.09042035,82.15998734
CHHATTISGARH,2008,Jeep (Private),176,31,207,22.09042035,82.15998734
CHHATTISGARH,2008,Car (Government),1,0,1,22.09042035,82.15998734
CHHATTISGARH,2008,Car (Private),105,13,118,22.09042035,82.15998734
CHHATTISGARH,2008,Three Wheeler,27,2,29,22.09042035,82.15998734
CHHATTISGARH,2008,Two Wheeler,757,70,827,22.09042035,82.15998734
CHHATTISGARH,2008,Bicycle,77,7,84,22.09042035,82.15998734
CHHATTISGARH,2008,Pedestrian,165,48,213,22.09042035,82.15998734
CHHATTISGARH,2008,Others (Please Specify),615,86,701,22.09042035,82.15998734
CHHATTISGARH,2009,Truck/Lorry (Government),46,0,46,22.09042035,82.15998734
CHHATTISGARH,2009,Truck/Lorry (Private),522,69,591,22.09042035,82.15998734
CHHATTISGARH,2009,Bus (Government),10,1,11,22.09042035,82.15998734
CHHATTISGARH,2009,Bus (Private),132,36,168,22.09042035,82.15998734
CHHATTISGARH,2009,Tempo/Vans (Government),0,0,0,22.09042035,82.15998734
CHHATTISGARH,2009,Tempo/Vans (Private),113,19,132,22.09042035,82.15998734
CHHATTISGARH,2009,Jeep (Government),3,0,3,22.09042035,82.15998734
CHHATTISGARH,2009,Jeep (Private),228,42,270,22.09042035,82.15998734
CHHATTISGARH,2009,Car (Government),0,0,0,22.09042035,82.15998734
CHHATTISGARH,2009,Car (Private),140,17,157,22.09042035,82.15998734
CHHATTISGARH,2009,Three Wheeler,45,5,50,22.09042035,82.15998734
CHHATTISGARH,2009,Two Wheeler,636,78,714,22.09042035,82.15998734
CHHATTISGARH,2009,Bicycle,120,13,133,22.09042035,82.15998734
CHHATTISGARH,2009,Pedestrian,152,47,199,22.09042035,82.15998734
CHHATTISGARH,2009,Others (Please Specify),596,88,684,22.09042035,82.15998734
CHHATTISGARH,2010,Truck/Lorry (Government),154,20,174,22.09042035,82.15998734
CHHATTISGARH,2010,Truck/Lorry (Private),452,72,524,22.09042035,82.15998734
CHHATTISGARH,2010,Bus (Government),85,8,93,22.09042035,82.15998734
CHHATTISGARH,2010,Bus (Private),137,21,158,22.09042035,82.15998734
CHHATTISGARH,2010,Tempo/Vans (Government),0,0,0,22.09042035,82.15998734
CHHATTISGARH,2010,Tempo/Vans (Private),128,16,144,22.09042035,82.15998734
CHHATTISGARH,2010,Jeep (Government),23,1,24,22.09042035,82.15998734
CHHATTISGARH,2010,Jeep (Private),209,38,247,22.09042035,82.15998734
CHHATTISGARH,2010,Car (Government),0,0,0,22.09042035,82.15998734
CHHATTISGARH,2010,Car (Private),149,16,165,22.09042035,82.15998734
CHHATTISGARH,2010,Three Wheeler,45,5,50,22.09042035,82.15998734
CHHATTISGARH,2010,Two Wheeler,344,51,395,22.09042035,82.15998734
CHHATTISGARH,2010,Bicycle,148,12,160,22.09042035,82.15998734
CHHATTISGARH,2010,Pedestrian,196,27,223,22.09042035,82.15998734
CHHATTISGARH,2010,Others (Please Specify),451,80,531,22.09042035,82.15998734
CHHATTISGARH,2011,Truck/Lorry (Government),1,4,5,22.09042035,82.15998734
CHHATTISGARH,2011,Truck/Lorry (Private),724,87,811,22.09042035,82.15998734
CHHATTISGARH,2011,Bus (Government),18,6,24,22.09042035,82.15998734
CHHATTISGARH,2011,Bus (Private),135,20,155,22.09042035,82.15998734
CHHATTISGARH,2011,Tempo/Vans (Government),1,0,1,22.09042035,82.15998734
CHHATTISGARH,2011,Tempo/Vans (Private),162,27,189,22.09042035,82.15998734
CHHATTISGARH,2011,Jeep (Government),18,6,24,22.09042035,82.15998734
CHHATTISGARH,2011,Jeep (Private),249,29,278,22.09042035,82.15998734
CHHATTISGARH,2011,Car (Government),1,0,1,22.09042035,82.15998734
CHHATTISGARH,2011,Car (Private),144,21,165,22.09042035,82.15998734
CHHATTISGARH,2011,Three Wheeler,76,9,85,22.09042035,82.15998734
CHHATTISGARH,2011,Two Wheeler,820,101,921,22.09042035,82.15998734
CHHATTISGARH,2011,Bicycle,118,12,130,22.09042035,82.15998734
CHHATTISGARH,2011,Pedestrian,190,50,240,22.09042035,82.15998734
CHHATTISGARH,2011,Others (Please Specify),370,55,425,22.09042035,82.15998734
CHHATTISGARH,2012,Truck/Lorry (Government),3,1,4,22.09042035,82.15998734
CHHATTISGARH,2012,Truck/Lorry (Private),709,87,796,22.09042035,82.15998734
CHHATTISGARH,2012,Bus (Government),22,5,27,22.09042035,82.15998734
CHHATTISGARH,2012,Bus (Private),102,18,120,22.09042035,82.15998734
CHHATTISGARH,2012,Tempo/Vans (Government),1,0,1,22.09042035,82.15998734
CHHATTISGARH,2012,Tempo/Vans (Private),74,16,90,22.09042035,82.15998734
CHHATTISGARH,2012,Jeep (Government),6,3,9,22.09042035,82.15998734
CHHATTISGARH,2012,Jeep (Private),183,28,211,22.09042035,82.15998734
CHHATTISGARH,2012,Car (Government),0,0,0,22.09042035,82.15998734
CHHATTISGARH,2012,Car (Private),119,20,139,22.09042035,82.15998734
CHHATTISGARH,2012,Three Wheeler,21,3,24,22.09042035,82.15998734
CHHATTISGARH,2012,Two Wheeler,655,80,735,22.09042035,82.15998734
CHHATTISGARH,2012,Bicycle,59,5,64,22.09042035,82.15998734
CHHATTISGARH,2012,Pedestrian,141,48,189,22.09042035,82.15998734
CHHATTISGARH,2012,Others (Please Specify),641,117,758,22.09042035,82.15998734
GOA,2001,Truck/Lorry (Government),0,0,0,15.491997,73.81800065
GOA,2001,Truck/Lorry (Private),21,6,27,15.491997,73.81800065
GOA,2001,Bus (Government),1,0,1,15.491997,73.81800065
GOA,2001,Bus (Private),10,5,15,15.491997,73.81800065
GOA,2001,Tempo/Vans (Government),2,0,2,15.491997,73.81800065
GOA,2001,Tempo/Vans (Private),6,1,7,15.491997,73.81800065
GOA,2001,Jeep (Government),0,0,0,15.491997,73.81800065
GOA,2001,Jeep (Private),4,1,5,15.491997,73.81800065
GOA,2001,Car (Government),0,0,0,15.491997,73.81800065
GOA,2001,Car (Private),10,0,10,15.491997,73.81800065
GOA,2001,Three Wheeler,7,0,7,15.491997,73.81800065
GOA,2001,Two Wheeler,84,9,93,15.491997,73.81800065
GOA,2001,Bicycle,7,1,8,15.491997,73.81800065
GOA,2001,Pedestrian,27,15,42,15.491997,73.81800065
GOA,2001,Others (Please Specify),9,1,10,15.491997,73.81800065
GOA,2002,Truck/Lorry (Government),0,0,0,15.491997,73.81800065
GOA,2002,Truck/Lorry (Private),1,1,2,15.491997,73.81800065
GOA,2002,Bus (Government),1,0,1,15.491997,73.81800065
GOA,2002,Bus (Private),5,0,5,15.491997,73.81800065
GOA,2002,Tempo/Vans (Government),0,0,0,15.491997,73.81800065
GOA,2002,Tempo/Vans (Private),2,0,2,15.491997,73.81800065
GOA,2002,Jeep (Government),0,0,0,15.491997,73.81800065
GOA,2002,Jeep (Private),1,0,1,15.491997,73.81800065
GOA,2002,Car (Government),0,0,0,15.491997,73.81800065
GOA,2002,Car (Private),3,1,4,15.491997,73.81800065
GOA,2002,Three Wheeler,13,6,19,15.491997,73.81800065
GOA,2002,Two Wheeler,38,1,39,15.491997,73.81800065
GOA,2002,Bicycle,3,0,3,15.491997,73.81800065
GOA,2002,Pedestrian,18,4,22,15.491997,73.81800065
GOA,2002,Others (Please Specify),125,18,143,15.491997,73.81800065
GOA,2003,Truck/Lorry (Government),0,0,0,15.491997,73.81800065
GOA,2003,Truck/Lorry (Private),19,0,19,15.491997,73.81800065
GOA,2003,Bus (Government),4,2,6,15.491997,73.81800065
GOA,2003,Bus (Private),7,2,9,15.491997,73.81800065
GOA,2003,Tempo/Vans (Government),0,0,0,15.491997,73.81800065
GOA,2003,Tempo/Vans (Private),11,1,12,15.491997,73.81800065
GOA,2003,Jeep (Government),0,0,0,15.491997,73.81800065
GOA,2003,Jeep (Private),3,0,3,15.491997,73.81800065
GOA,2003,Car (Government),0,0,0,15.491997,73.81800065
GOA,2003,Car (Private),7,0,7,15.491997,73.81800065
GOA,2003,Three Wheeler,14,1,15,15.491997,73.81800065
GOA,2003,Two Wheeler,91,10,101,15.491997,73.81800065
GOA,2003,Bicycle,8,0,8,15.491997,73.81800065
GOA,2003,Pedestrian,28,14,42,15.491997,73.81800065
GOA,2003,Others (Please Specify),9,0,9,15.491997,73.81800065
GOA,2004,Truck/Lorry (Government),0,0,0,15.491997,73.81800065
GOA,2004,Truck/Lorry (Private),18,3,21,15.491997,73.81800065
GOA,2004,Bus (Government),0,0,0,15.491997,73.81800065
GOA,2004,Bus (Private),10,1,11,15.491997,73.81800065
GOA,2004,Tempo/Vans (Government),1,0,1,15.491997,73.81800065
GOA,2004,Tempo/Vans (Private),6,1,7,15.491997,73.81800065
GOA,2004,Jeep (Government),0,0,0,15.491997,73.81800065
GOA,2004,Jeep (Private),6,0,6,15.491997,73.81800065
GOA,2004,Car (Government),0,0,0,15.491997,73.81800065
GOA,2004,Car (Private),17,4,21,15.491997,73.81800065
GOA,2004,Three Wheeler,10,1,11,15.491997,73.81800065
GOA,2004,Two Wheeler,139,14,153,15.491997,73.81800065
GOA,2004,Bicycle,11,0,11,15.491997,73.81800065
GOA,2004,Pedestrian,47,22,69,15.491997,73.81800065
GOA,2004,Others (Please Specify),7,1,8,15.491997,73.81800065
GOA,2005,Truck/Lorry (Government),0,0,0,15.491997,73.81800065
GOA,2005,Truck/Lorry (Private),16,2,18,15.491997,73.81800065
GOA,2005,Bus (Government),0,0,0,15.491997,73.81800065
GOA,2005,Bus (Private),3,0,3,15.491997,73.81800065
GOA,2005,Tempo/Vans (Government),0,0,0,15.491997,73.81800065
GOA,2005,Tempo/Vans (Private),6,0,6,15.491997,73.81800065
GOA,2005,Jeep (Government),0,0,0,15.491997,73.81800065
GOA,2005,Jeep (Private),5,0,5,15.491997,73.81800065
GOA,2005,Car (Government),0,0,0,15.491997,73.81800065
GOA,2005,Car (Private),14,3,17,15.491997,73.81800065
GOA,2005,Three Wheeler,6,1,7,15.491997,73.81800065
GOA,2005,Two Wheeler,129,8,137,15.491997,73.81800065
GOA,2005,Bicycle,8,0,8,15.491997,73.81800065
GOA,2005,Pedestrian,39,17,56,15.491997,73.81800065
GOA,2005,Others (Please Specify),1,0,1,15.491997,73.81800065
GOA,2006,Truck/Lorry (Government),0,0,0,15.491997,73.81800065
GOA,2006,Truck/Lorry (Private),17,1,18,15.491997,73.81800065
GOA,2006,Bus (Government),0,0,0,15.491997,73.81800065
GOA,2006,Bus (Private),10,0,10,15.491997,73.81800065
GOA,2006,Tempo/Vans (Government),1,0,1,15.491997,73.81800065
GOA,2006,Tempo/Vans (Private),7,1,8,15.491997,73.81800065
GOA,2006,Jeep (Government),0,0,0,15.491997,73.81800065
GOA,2006,Jeep (Private),3,1,4,15.491997,73.81800065
GOA,2006,Car (Government),0,0,0,15.491997,73.81800065
GOA,2006,Car (Private),13,4,17,15.491997,73.81800065
GOA,2006,Three Wheeler,26,5,31,15.491997,73.81800065
GOA,2006,Two Wheeler,112,15,127,15.491997,73.81800065
GOA,2006,Bicycle,13,1,14,15.491997,73.81800065
GOA,2006,Pedestrian,56,18,74,15.491997,73.81800065
GOA,2006,Others (Please Specify),5,1,6,15.491997,73.81800065
GOA,2007,Truck/Lorry (Government),0,0,0,15.491997,73.81800065
GOA,2007,Truck/Lorry (Private),19,3,22,15.491997,73.81800065
GOA,2007,Bus (Government),1,0,1,15.491997,73.81800065
GOA,2007,Bus (Private),5,1,6,15.491997,73.81800065
GOA,2007,Tempo/Vans (Government),0,0,0,15.491997,73.81800065
GOA,2007,Tempo/Vans (Private),11,0,11,15.491997,73.81800065
GOA,2007,Jeep (Government),0,0,0,15.491997,73.81800065
GOA,2007,Jeep (Private),5,1,6,15.491997,73.81800065
GOA,2007,Car (Government),0,0,0,15.491997,73.81800065
GOA,2007,Car (Private),10,2,12,15.491997,73.81800065
GOA,2007,Three Wheeler,1,1,2,15.491997,73.81800065
GOA,2007,Two Wheeler,174,19,193,15.491997,73.81800065
GOA,2007,Bicycle,12,0,12,15.491997,73.81800065
GOA,2007,Pedestrian,54,14,68,15.491997,73.81800065
GOA,2007,Others (Please Specify),7,0,7,15.491997,73.81800065
GOA,2008,Truck/Lorry (Government),0,0,0,15.491997,73.81800065
GOA,2008,Truck/Lorry (Private),23,0,23,15.491997,73.81800065
GOA,2008,Bus (Government),2,0,2,15.491997,73.81800065
GOA,2008,Bus (Private),13,8,21,15.491997,73.81800065
GOA,2008,Tempo/Vans (Government),0,0,0,15.491997,73.81800065
GOA,2008,Tempo/Vans (Private),10,1,11,15.491997,73.81800065
GOA,2008,Jeep (Government),1,0,1,15.491997,73.81800065
GOA,2008,Jeep (Private),17,1,18,15.491997,73.81800065
GOA,2008,Car (Government),0,0,0,15.491997,73.81800065
GOA,2008,Car (Private),12,2,14,15.491997,73.81800065
GOA,2008,Three Wheeler,14,1,15,15.491997,73.81800065
GOA,2008,Two Wheeler,138,11,149,15.491997,73.81800065
GOA,2008,Bicycle,10,2,12,15.491997,73.81800065
GOA,2008,Pedestrian,41,16,57,15.491997,73.81800065
GOA,2008,Others (Please Specify),9,1,10,15.491997,73.81800065
GOA,2009,Truck/Lorry (Government),0,0,0,15.491997,73.81800065
GOA,2009,Truck/Lorry (Private),26,0,26,15.491997,73.81800065
GOA,2009,Bus (Government),0,0,0,15.491997,73.81800065
GOA,2009,Bus (Private),1,0,1,15.491997,73.81800065
GOA,2009,Tempo/Vans (Government),0,0,0,15.491997,73.81800065
GOA,2009,Tempo/Vans (Private),7,0,7,15.491997,73.81800065
GOA,2009,Jeep (Government),0,0,0,15.491997,73.81800065
GOA,2009,Jeep (Private),4,1,5,15.491997,73.81800065
GOA,2009,Car (Government),0,0,0,15.491997,73.81800065
GOA,2009,Car (Private),16,3,19,15.491997,73.81800065
GOA,2009,Three Wheeler,4,0,4,15.491997,73.81800065
GOA,2009,Two Wheeler,168,12,180,15.491997,73.81800065
GOA,2009,Bicycle,7,0,7,15.491997,73.81800065
GOA,2009,Pedestrian,50,15,65,15.491997,73.81800065
GOA,2009,Others (Please Specify),6,4,10,15.491997,73.81800065
GOA,2010,Truck/Lorry (Government),1,0,1,15.491997,73.81800065
GOA,2010,Truck/Lorry (Private),10,1,11,15.491997,73.81800065
GOA,2010,Bus (Government),0,0,0,15.491997,73.81800065
GOA,2010,Bus (Private),7,4,11,15.491997,73.81800065
GOA,2010,Tempo/Vans (Government),0,0,0,15.491997,73.81800065
GOA,2010,Tempo/Vans (Private),2,0,2,15.491997,73.81800065
GOA,2010,Jeep (Government),1,0,1,15.491997,73.81800065
GOA,2010,Jeep (Private),7,0,7,15.491997,73.81800065
GOA,2010,Car (Government),0,0,0,15.491997,73.81800065
GOA,2010,Car (Private),15,3,18,15.491997,73.81800065
GOA,2010,Three Wheeler,2,0,2,15.491997,73.81800065
GOA,2010,Two Wheeler,167,24,191,15.491997,73.81800065
GOA,2010,Bicycle,5,0,5,15.491997,73.81800065
GOA,2010,Pedestrian,73,15,88,15.491997,73.81800065
GOA,2010,Others (Please Specify),5,0,5,15.491997,73.81800065
GOA,2011,Truck/Lorry (Government),0,0,0,15.491997,73.81800065
GOA,2011,Truck/Lorry (Private),16,1,17,15.491997,73.81800065
GOA,2011,Bus (Government),0,0,0,15.491997,73.81800065
GOA,2011,Bus (Private),8,0,8,15.491997,73.81800065
GOA,2011,Tempo/Vans (Government),0,0,0,15.491997,73.81800065
GOA,2011,Tempo/Vans (Private),4,1,5,15.491997,73.81800065
GOA,2011,Jeep (Government),1,0,1,15.491997,73.81800065
GOA,2011,Jeep (Private),5,2,7,15.491997,73.81800065
GOA,2011,Car (Government),0,0,0,15.491997,73.81800065
GOA,2011,Car (Private),12,3,15,15.491997,73.81800065
GOA,2011,Three Wheeler,3,0,3,15.491997,73.81800065
GOA,2011,Two Wheeler,152,11,163,15.491997,73.81800065
GOA,2011,Bicycle,15,0,15,15.491997,73.81800065
GOA,2011,Pedestrian,84,13,97,15.491997,73.81800065
GOA,2011,Others (Please Specify),5,2,7,15.491997,73.81800065
GOA,2012,Truck/Lorry (Government),0,0,0,15.491997,73.81800065
GOA,2012,Truck/Lorry (Private),10,0,10,15.491997,73.81800065
GOA,2012,Bus (Government),2,0,2,15.491997,73.81800065
GOA,2012,Bus (Private),6,7,13,15.491997,73.81800065
GOA,2012,Tempo/Vans (Government),0,0,0,15.491997,73.81800065
GOA,2012,Tempo/Vans (Private),2,0,2,15.491997,73.81800065
GOA,2012,Jeep (Government),0,0,0,15.491997,73.81800065
GOA,2012,Jeep (Private),1,0,1,15.491997,73.81800065
GOA,2012,Car (Government),0,0,0,15.491997,73.81800065
GOA,2012,Car (Private),23,4,27,15.491997,73.81800065
GOA,2012,Three Wheeler,11,2,13,15.491997,73.81800065
GOA,2012,Two Wheeler,162,11,173,15.491997,73.81800065
GOA,2012,Bicycle,2,0,2,15.491997,73.81800065
GOA,2012,Pedestrian,37,13,50,15.491997,73.81800065
GOA,2012,Others (Please Specify),9,0,9,15.491997,73.81800065
GUJARAT,2001,Truck/Lorry (Government),10,1,11,22.2587,71.1924
GUJARAT,2001,Truck/Lorry (Private),898,123,1021,22.2587,71.1924
GUJARAT,2001,Bus (Government),164,32,196,22.2587,71.1924
GUJARAT,2001,Bus (Private),149,40,189,22.2587,71.1924
GUJARAT,2001,Tempo/Vans (Government),1,0,1,22.2587,71.1924
GUJARAT,2001,Tempo/Vans (Private),241,59,300,22.2587,71.1924
GUJARAT,2001,Jeep (Government),8,0,8,22.2587,71.1924
GUJARAT,2001,Jeep (Private),411,91,502,22.2587,71.1924
GUJARAT,2001,Car (Government),2,1,3,22.2587,71.1924
GUJARAT,2001,Car (Private),205,53,258,22.2587,71.1924
GUJARAT,2001,Three Wheeler,224,51,275,22.2587,71.1924
GUJARAT,2001,Two Wheeler,521,94,615,22.2587,71.1924
GUJARAT,2001,Bicycle,161,15,176,22.2587,71.1924
GUJARAT,2001,Pedestrian,490,119,609,22.2587,71.1924
GUJARAT,2001,Others (Please Specify),265,42,307,22.2587,71.1924
GUJARAT,2002,Truck/Lorry (Government),6,0,6,22.2587,71.1924
GUJARAT,2002,Truck/Lorry (Private),1044,120,1164,22.2587,71.1924
GUJARAT,2002,Bus (Government),117,31,148,22.2587,71.1924
GUJARAT,2002,Bus (Private),119,32,151,22.2587,71.1924
GUJARAT,2002,Tempo/Vans (Government),3,1,4,22.2587,71.1924
GUJARAT,2002,Tempo/Vans (Private),300,72,372,22.2587,71.1924
GUJARAT,2002,Jeep (Government),15,0,15,22.2587,71.1924
